Index	Name	Author	FileName	Tags	Dependencies	URL
113	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  80 ⋆ Companions ⋆ Wyll  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Companions_Wyll_accf6ba0-8aae-46dd-b9dc-961636891f95.pak			
114	If Fate Chose Differently - Wyll Pact Points Overhaul	Magnetuning	MGNTN_WyllPactPoints_8007e4f8-4cf1-4077-9953-3e67e456329c.pak			
115	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  81 ⋆ Companions ⋆ Scratch & Owlbear Cub  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Companions_ScratchOwlbear_e26c9d91-1822-43d5-af73-5350d7cb4be4.pak			
116	Scratch And Shovel	Syrchalis	scratch_and_shovel_78753062-b4-2nov.pak		GustavDev, GustavX	https://www.nexusmods.com/baldursgate3/mods/3423
117	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  88 ⋆ Posing ⋆ Other  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_ScreenArchery_Other_9da34b20-e09b-4dfd-8a9d-111f44f2085b.pak			
118	Bliss	TheWhirlwind9	bliss_81cf228c-9f0a-238f-6a71-bws5.pak		GustavDev, GustavX	
119	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  105 ⋆ Late Loaders ⋆ Compatibility Framework  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Late_Compat_b77b1799-6ed3-4af6-bcf5-3719ba7065ba.pak			
120	CompatibilityFramework	BG3 Community	SubclassCompatibilityFramework_67fbbd53-7c7d-4cfa-9409-6d737b4d92a9.pak	API, CMTY, Framework	CommunityLibrary	https://www.nexusmods.com/baldursgate3/mods/1933
Override	a1_distinctive_dyes	grimsyxd	a1_distinctive_dyes_bf41067d-b809-499f-803e-47a62fbf5daf.pak			
Override	Hide Passive Dice Rolls - All but Death Save Throws	DeKRuS	Hide Passive Dice Rolls_b2a0a124-1d3d-4a54-a15f-433774795b66.pak			
Override	Waiting With Style - Better Loading Screens Patch [Companions Edition]	Aetherpoint | AIMRYAX	AIMRYAX_LoadingScreens_CompanionsEdition_BLS_Patch_24fd4512-2f9c-4559-9cbc-0ead10868ec6.pak			
Override	Waiting With Style — AIMRYAX Loading Screens [Companions Edition]	Aetherpoint | AIMRYAX	AIMRYAX_LoadingScreens_CompanionsEdition_b8b49e71-7b38-4e14-85bc-c047298abfed.pak			https://www.nexusmods.com/baldursgate3/mods/10713
